No	Time[sec]	VOLT[V]	CURR[A]
409	87	0.4	7.71048e-006
410	87	0.4	7.52243e-006
411	88	0.4	7.84452e-006
412	88	0.4	7.66034e-006
413	88	0.4	7.75436e-006
414	88	0.4	7.47325e-006
415	89	0.4	7.6085e-006
416	89	0.4	7.58256e-006
417	89	0.4	7.77695e-006
418	89	0.4	7.87719e-006
419	89	0.4	9.45777e-006
420	90	0.4	8.43783e-006
421	90	0.4	7.30389e-006
422	90	0.4	7.62697e-006
423	90	0.4	7.33319e-006
424	90	0.4	7.48718e-006
425	91	0.4	7.44721e-006
426	91	0.4	8.01835e-006
427	91	0.4	8.0261e-006
428	91	0.4	8.17608e-006
429	91	0.4	7.47594e-006
430	92	0.4	7.34077e-006
431	92	0.4	7.29584e-006
432	92	0.4	7.1484e-006
433	92	0.4	7.25625e-006
434	92	0.4	7.22177e-006
435	93	0.4	7.38841e-006
436	93	0.4	7.6782e-006
437	93	0.4	7.36926e-006
438	93	0.4	7.25535e-006
439	93	0.4	7.27331e-006
440	94	0.4	7.48541e-006
441	94	0.4	7.30327e-006
442	94	0.4	7.33065e-006
443	94	0.4	7.42404e-006
444	94	0.4	7.27353e-006
445	95	0.4	7.38742e-006
446	95	0.4	7.52746e-006
447	95	0.4	7.5906e-006
448	95	0.4	7.36375e-006
449	96	0.4	7.32755e-006
450	96	0.45	8.64926e-006
451	96	0.45	8.5475e-006
452	96	0.45	8.86777e-006
453	96	0.45	8.43081e-006
454	97	0.45	8.54508e-006
455	97	0.45	8.50849e-006
456	97	0.45	8.45889e-006
457	97	0.45	8.43805e-006
458	97	0.45	8.60075e-006
459	98	0.45	8.36575e-006
460	98	0.45	8.28651e-006
461	98	0.45	8.18343e-006
462	98	0.45	8.39455e-006
463	98	0.45	8.40318e-006
464	99	0.45	8.29262e-006
465	99	0.45	8.29958e-006
466	99	0.45	8.24348e-006
467	99	0.45	8.42392e-006
468	99	0.45	8.15274e-006
469	100	0.45	8.33487e-006
470	100	0.45	8.07293e-006
471	100	0.45	8.29069e-006
472	100	0.45	8.54401e-006
473	100	0.45	8.31448e-006
474	101	0.45	8.28722e-006
475	101	0.45	8.21844e-006
476	101	0.45	8.06721e-006
